Topic,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
Harry Potter,Who is known as 'The Boy Who Lived'?,Harry Potter,Ron Weasley,Draco Malfoy,Neville Longbottom,Harry Potter
Harry Potter,What is the name of Harry’s pet owl?,Hedwig,Crookshanks,Scabbers,Errol,Hedwig
Harry Potter,Which Hogwarts house does Harry belong to?,Gryffindor,Slytherin,Hufflepuff,Ravenclaw,Gryffindor
Harry Potter,Who is the headmaster of Hogwarts during most of the series?,Albus Dumbledore,Severus Snape,Gilderoy Lockhart,Cornelius Fudge,Albus Dumbledore
Harry Potter,What spell is used to disarm an opponent?,Expelliarmus,Lumos,Alohomora,Wingardium Leviosa,Expelliarmus
Harry Potter,What platform does the Hogwarts Express depart from?,9¾,10,8½,11,9¾
Harry Potter,Who teaches Potions in Harry’s first year?,Severus Snape,Remus Lupin,Horace Slughorn,Mad-Eye Moody,Severus Snape
Harry Potter,What shape is Harry’s scar?,Lightning bolt,Star,Snake,Moon,Lightning bolt
Harry Potter,What is the name of Ron’s rat?,Scabbers,Fang,Trevor,Crookshanks,Scabbers
Harry Potter,What position does Harry play in Quidditch?,Seeker,Keeper,Beater,Chaser,Seeker
Harry Potter,Who is the author of the Harry Potter series?,J.K. Rowling,Suzanne Collins,Rick Riordan,C.S. Lewis,J.K. Rowling
Harry Potter,What does Hagrid do at Hogwarts?,Keeper of Keys and Grounds,Caretaker,Librarian,Headmaster,Keeper of Keys and Grounds
Harry Potter,What creature is Aragog?,Giant spider,Basilisk,Hippogriff,Dragon,Giant spider
Harry Potter,What spell makes objects fly?,Wingardium Leviosa,Alohomora,Accio,Expelliarmus,Wingardium Leviosa
Harry Potter,Who kills Dumbledore?,Severus Snape,Voldemort,Bellatrix Lestrange,Draco Malfoy,Severus Snape
Harry Potter,What is the name of Harry’s godfather?,Sirius Black,Remus Lupin,Albus Dumbledore,James Potter,Sirius Black
Harry Potter,What form does Harry’s Patronus take?,Stag,Otter,Phoenix,Wolf,Stag
Harry Potter,Who was the Half-Blood Prince?,Severus Snape,Tom Riddle,Albus Dumbledore,Harry Potter,Severus Snape
Harry Potter,What are the guards of Azkaban called?,Dementors,Inferi,Aurors,Giants,Dementors
Harry Potter,Who destroyed the final Horcrux?,Neville Longbottom,Harry Potter,Hermione Granger,Ron Weasley,Neville Longbottom
