Topic,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
The Avengers (MCU),What is Thor’s hammer called?,Stormbringer,Thunderclap,Mjolnir,Lightning Rod,Mjolnir
The Avengers (MCU),Who leads S.H.I.E.L.D.?,Nick Fury,Tony Stark,Steve Rogers,Clint Barton,Nick Fury
The Avengers (MCU),What colour is the Hulk?,Red,Green,Blue,Grey,Green
The Avengers (MCU),What is Iron Man’s real name?,Bruce Banner,Steve Rogers,Tony Stark,Peter Parker,Tony Stark
The Avengers (MCU),Who says 'I can do this all day'?,Hawkeye,Black Widow,Captain America,Loki,Captain America
The Avengers (MCU),Which Avenger uses a bow and arrow?,Hawkeye,Falcon,Iron Man,Thor,Hawkeye
The Avengers (MCU),What metal is Captain America’s shield made from?,Vibranium,Titanium,Adamantium,Steel,Vibranium
The Avengers (MCU),What planet is Thanos from?,Titan,Asgard,Earth,Xandar,Titan
Animals,Which animal is known as the king of the jungle?,Lion,Tiger,Elephant,Gorilla,Lion
Animals,What do pandas mostly eat?,Fish,Bamboo,Grass,Berries,Bamboo
Animals,Which animal lays eggs?,Dog,Cat,Snake,Horse,Snake
Animals,What is the fastest land animal?,Cheetah,Leopard,Horse,Kangaroo,Cheetah
Animals,Which bird can mimic human speech?,Crow,Parrot,Eagle,Penguin,Parrot
Animals,What is a baby kangaroo called?,Cub,Pup,Joey,Calf,Joey
Animals,Which animal lives in a hive?,Bee,Ant,Spider,Butterfly,Bee
Animals,Which sea creature has eight arms?,Starfish,Jellyfish,Octopus,Crab,Octopus
Sports Cars,Which company makes the Mustang?,Ferrari,Ford,Holden,Chevrolet,Ford
Sports Cars,Which car company has a prancing horse logo?,Ferrari,Lamborghini,Porsche,Mazda,Ferrari
Sports Cars,What country is Lamborghini from?,Germany,France,Italy,USA,Italy
Sports Cars,What colour are most Ferraris traditionally?,Yellow,Blue,Red,Black,Red
Sports Cars,Which brand makes the GT-R?,Toyota,Nissan,Mitsubishi,Honda,Nissan
Sports Cars,Which British brand makes the Vantage?,Aston Martin,Jaguar,Lotus,McLaren,Aston Martin
Sports Cars,What is the symbol on a Porsche?,Horse,Lion,Eagle,Snake,Horse
Sports Cars,Which car has the logo with a bull?,Ferrari,Lamborghini,Ford,Nissan,Lamborghini
The Ocean,What is the largest ocean on Earth?,Atlantic Ocean,Pacific Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean
The Ocean,What do you call a group of fish swimming together?,Pack,Flock,School,Pod,School
The Ocean,Which ocean is around Australia?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
The Ocean,What do whales breathe through?,Mouth,Gills,Blowhole,Skin,Blowhole
The Ocean,What are coral reefs made of?,Plants,Rocks,Tiny animals,Sand,Tiny animals
The Ocean,What is the fastest fish in the ocean?,Goldfish,Sailfish,Shark,Tuna,Sailfish
The Ocean,Which animal is known as the 'clownfish'?,Nemo,Dory,Marlin,Bruce,Nemo
The Ocean,Which sea creature has a hard shell and moves slowly?,Dolphin,Crab,Sea Turtle,Seal,Sea Turtle
Harry Potter,What is the name of Harry’s school?,Durmstrang,Hogwarts,Beauxbatons,Ilvermorny,Hogwarts
Harry Potter,Who is Harry’s best friend with red hair?,Draco Malfoy,Ron Weasley,Neville Longbottom,Dean Thomas,Ron Weasley
Harry Potter,What sport do wizards play on broomsticks?,Bludger Ball,Quidditch,Broom Hockey,Wizard Polo,Quidditch
Harry Potter,Who teaches Potions at Hogwarts?,Professor Snape,Professor Dumbledore,Professor Sprout,Professor Lupin,Professor Snape
Harry Potter,What is the name of Harry’s owl?,Errol,Crookshanks,Hedwig,Scabbers,Hedwig
Harry Potter,What house is Draco Malfoy in?,Hufflepuff,Gryffindor,Slytherin,Ravenclaw,Slytherin
Harry Potter,Who is the headmaster of Hogwarts?,Professor Snape,Professor Dumbledore,Professor McGonagall,Hagrid,Professor Dumbledore
Harry Potter,What scar shape is on Harry’s forehead?,Star,Lightning Bolt,Circle,Triangle,Lightning Bolt
Star Wars,Who built C-3PO?,Yoda,Obi-Wan Kenobi,Luke Skywalker,Anakin Skywalker,Anakin Skywalker
Star Wars,What colour is Yoda’s lightsaber?,Blue,Green,Red,Purple,Green
Star Wars,Who says 'I am your father'?,Luke Skywalker,Obi-Wan Kenobi,Darth Vader,Han Solo,Darth Vader
Star Wars,What is the name of Han Solo’s ship?,Star Destroyer,Millennium Falcon,X-Wing,TIE Fighter,Millennium Falcon
Star Wars,What planet is Luke Skywalker from?,Naboo,Tatooine,Alderaan,Endor,Tatooine
Star Wars,Who is the princess in Star Wars?,Padmé,Leia,Rey,Ahsoka,Leia
Star Wars,What are the soldiers in white armour called?,Stormtroopers,Clone Troopers,Droids,Rebels,Stormtroopers
Star Wars,Who trains Luke to become a Jedi?,Han Solo,Obi-Wan Kenobi,Yoda,Mace Windu,Yoda
