Topic,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
Children's Books,Who wrote 'The Cat in the Hat'?,Dr. Seuss,Roald Dahl,Eric Carle,Maurice Sendak,Dr. Seuss
Children's Books,What kind of animal is Charlotte in 'Charlotte's Web'?,Spider,Pig,Rat,Goose,Spider
Children's Books,In 'Where the Wild Things Are' what is the boy's name?,Max,Sam,Ben,Tom,Max
Children's Books,What does the Very Hungry Caterpillar eat on Saturday?,Cake,Apple,Lollipop,Chocolate cake,Cake
Children's Books,Who wrote 'Matilda'?,Roald Dahl,Dr. Seuss,Judy Blume,Beverly Cleary,Roald Dahl
Children's Books,What color is the fish that Sam-I-Am offers in 'Green Eggs and Ham'?,Green,Blue,Red,Yellow,Green
Children's Books,In 'The Gruffalo' what color are the Gruffalo's eyes?,Orange,Red,Green,Blue,Orange
Children's Books,Who is the author of 'Harry Potter' series?,J.K. Rowling,Roald Dahl,C.S. Lewis,J.R.R. Tolkien,J.K. Rowling
Children's Books,What animal is Paddington?,Bear,Dog,Cat,Rabbit,Bear
Children's Books,In 'Goodnight Moon' what do they say goodnight to?,Everything in the room,The stars,The sun,The teddy bear,Everything in the room
Fast Cars,What is the fastest production car in the world?,Bugatti Chiron Super Sport,Tesla Model S,Ferrari SF90,McLaren Speedtail,Bugatti Chiron Super Sport
Fast Cars,Which car manufacturer produces the 911?,Porsche,Ferrari,Lamborghini,Aston Martin,Porsche
Fast Cars,What does RPM stand for?,Revolutions Per Minute,Race Power Mode,Rapid Performance Motor,Racing Power Measure,Revolutions Per Minute
Fast Cars,Which company makes the Corvette?,Chevrolet,Ford,Dodge,Tesla,Chevrolet
Fast Cars,What animal is on the Ferrari logo?,Horse,Bull,Lion,Cheetah,Horse
Fast Cars,How many wheels does a Formula 1 car have?,4,2,6,8,4
Fast Cars,Which car brand has the slogan 'The Ultimate Driving Machine'?,BMW,Mercedes,Audi,Lexus,BMW
Fast Cars,What does SUV stand for?,Sport Utility Vehicle,Super Ultra Vehicle,Speed Urban Vehicle,Special Use Vehicle,Sport Utility Vehicle
Fast Cars,Which Italian company makes the Aventador?,Lamborghini,Ferrari,Maserati,Alfa Romeo,Lamborghini
Fast Cars,What color is traditionally associated with racing cars from France?,Blue,Red,Green,Yellow,Blue

