Topic,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
Australian Animals,What type of animal is a koala?,Marsupial,Bear,Rodent,Primate,Marsupial
Australian Animals,Which Australian animal lays eggs but is a mammal?,Platypus,Echidna,Both platypus and echidna,Tasmanian devil,Both platypus and echidna
Australian Animals,What do kangaroos use their tail for?,Balance and support,Swimming,Flying,Digging,Balance and support
Australian Animals,Which Australian bird cannot fly and is the second largest bird in the world?,Emu,Kookaburra,Cockatoo,Cassowary,Emu
Sports Cars,Which Italian brand is famous for its prancing horse logo?,Ferrari,Lamborghini,Maserati,Alfa Romeo,Ferrari
Sports Cars,What does GT stand for in car names like Ford Mustang GT?,Grand Touring,Great Turbo,Giant Throttle,Ground Track,Grand Touring
Sports Cars,Which sports car appears in the Back to the Future movies?,DeLorean DMC-12,Porsche 911,Ferrari Testarossa,Corvette Stingray,DeLorean DMC-12
Sports Cars,Which Japanese sports car is known as the 'Godzilla'?,Nissan GT-R,Toyota Supra,Honda NSX,Mazda RX-7,Nissan GT-R
Modern Board Games,In Catan what resource do you NOT collect?,Gold,Wheat,Ore,Wood,Gold
Modern Board Games,How many points do you need to win in Ticket to Ride?,Varies by route completion,50,100,The most points when cards run out,Varies by route completion
Modern Board Games,What are you building in the game Carcassonne?,Medieval landscape,City skyline,Railroad network,Space station,Medieval landscape
Modern Board Games,In Pandemic what are players trying to do?,Cure four diseases,Build cities,Collect the most cards,Eliminate other players,Cure four diseases
The Hobbit,What is Bilbo Baggins?,A hobbit,A dwarf,A wizard,An elf,A hobbit
The Hobbit,Who is the wizard that sends Bilbo on the adventure?,Gandalf,Saruman,Radagast,Merlin,Gandalf
The Hobbit,What is the name of the dragon?,Smaug,Toothless,Drogon,Falkor,Smaug
The Hobbit,What is the name of Bilbo's home?,Bag End,The Shire,Hobbiton,Rivendell,Bag End


